# nh np err sqrt(err) sqrt(err/N)
0.083333 0.916667 5.361779660262e-05 7.322417401557e-03 8.629551665532e-04
0.097222 0.902778 3.704866900605e-03 6.086761783252e-02 7.173317554007e-03
0.111111 0.888889 6.109144360167e-05 7.816101560348e-03 9.211364026274e-04
0.125000 0.875000 4.633348642002e-04 2.152521461450e-02 2.536770870068e-03
0.138889 0.861111 5.844767300545e-05 7.645107782461e-03 9.009845926467e-04
0.152778 0.847222 6.352707400481e-05 7.970387318369e-03 9.393191535836e-04
0.166667 0.833333 1.281356828002e-04 1.131970330001e-02 1.334039827409e-03
0.194444 0.805556 4.034712802081e-06 2.008659453984e-03 2.367227868345e-04
0.208333 0.791667 2.953382135601e-03 5.434502861901e-02 6.404623043380e-03
0.222222 0.777778 1.315719428021e-04 1.147048136750e-02 1.351809193072e-03
0.236111 0.763889 3.485718277197e-03 5.903997185973e-02 6.957927410513e-03
0.250000 0.750000 4.717539619747e-05 6.868434770563e-03 8.094528004004e-04
0.277778 0.722222 6.245110740366e-05 7.902601306131e-03 9.313304954298e-04
0.291667 0.708333 6.135869567800e-03 7.833179155234e-02 9.231490164859e-03
0.319444 0.680556 5.592313058855e-05 7.478176956221e-03 8.813116061095e-04
0.347222 0.652778 5.526950319279e-05 7.434346184621e-03 8.761461001390e-04
0.430556 0.569444 5.527831859808e-05 7.434939044678e-03 8.762159693668e-04
0.472222 0.527778 5.170112000030e-05 7.190349087513e-03 8.473907664799e-04
0.500000 0.500000 7.133501870001e-03 8.446006079800e-02 9.953713621615e-03
0.527778 0.472222 8.415148059271e-05 9.173411611429e-03 1.081096926176e-03
0.611111 0.388889 2.808505800544e-05 5.299533753590e-03 6.245560423818e-04
0.694444 0.305556 2.876201740776e-05 5.363023159353e-03 6.320383406065e-04
0.763889 0.236111 7.213039992848e-06 2.685710333012e-03 3.165139981293e-04
0.833333 0.166667 4.971980160917e-08 2.229793748515e-04 2.627837133704e-05
0.763889 0.236111 7.213039992848e-06 2.685710333012e-03 3.165139981293e-04
0.833333 0.166667 4.971980160917e-08 2.229793748515e-04 2.627837133704e-05
