# nh np err sqrt(err) sqrt(err/N)
0.111111 0.888889 1.382136379924e-05 3.717709482899e-03 6.196182471499e-04
0.138889 0.861111 1.675401399837e-05 4.093166744510e-03 6.821944574184e-04
0.166667 0.833333 1.446955020157e-05 3.803886197242e-03 6.339810328737e-04
0.194444 0.805556 1.474502608012e-04 1.214290989842e-02 2.023818316404e-03
0.250000 0.750000 1.931444200309e-05 4.394819905650e-03 7.324699842749e-04
0.277778 0.722222 9.680580998150e-06 3.111363205759e-03 5.185605342932e-04
0.333333 0.666667 9.272961797535e-06 3.045153821654e-03 5.075256369424e-04
0.361111 0.638889 1.925308819750e-05 4.387834112350e-03 7.313056853917e-04
0.388889 0.611111 9.887425399313e-06 3.144427674365e-03 5.240712790608e-04
0.416667 0.583333 7.280839199097e-06 2.698303022104e-03 4.497171703507e-04
0.444444 0.555556 4.766251798571e-06 2.183174706379e-03 3.638624510631e-04
0.472222 0.527778 9.192401840608e-05 9.587701414107e-03 1.597950235685e-03
0.527778 0.472222 6.093752006109e-06 2.468552613599e-03 4.114254355999e-04
0.583333 0.416667 2.750543799834e-06 1.658476348892e-03 2.764127248153e-04
0.611111 0.388889 1.826982199304e-06 1.351659054386e-03 2.252765090644e-04
0.638889 0.361111 9.136693961409e-07 9.558605526649e-04 1.593100921108e-04
0.666667 0.333333 2.528240599986e-06 1.590044213217e-03 2.650073688696e-04
0.750000 0.250000 1.009420458331e-08 1.004699187982e-04 1.674498646636e-05
0.833333 0.166667 3.979039320257e-13 6.307962682401e-07 1.051327113734e-07
